# Source: https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics (IEC live dashboard)
"# Scraped live, all provinces, unfiltered. As-of date on IEC site: 23 September 2026"
province,municipality_code,municipality_name,age_group,gender,registered_voters,is_youth
Eastern Cape,EC131,Inxuba Yethemba,60-69,male,1679,False
Eastern Cape,EC131,Inxuba Yethemba,60-69,female,2365,False
Eastern Cape,EC131,Inxuba Yethemba,70-79,male,711,False
Eastern Cape,EC131,Inxuba Yethemba,70-79,female,1203,False
Eastern Cape,EC131,Inxuba Yethemba,80+,male,192,False
Eastern Cape,EC131,Inxuba Yethemba,80+,female,494,False
Eastern Cape,EC135,Intsika Yethu,18-19,male,1172,True
Eastern Cape,EC135,Intsika Yethu,18-19,female,1016,True
Eastern Cape,EC135,Intsika Yethu,20-29,male,6044,True
Eastern Cape,EC135,Intsika Yethu,20-29,female,5367,True
Eastern Cape,EC135,Intsika Yethu,30-39,male,8024,False
Eastern Cape,EC135,Intsika Yethu,30-39,female,7573,False
Eastern Cape,EC135,Intsika Yethu,40-49,male,6869,False
Eastern Cape,EC135,Intsika Yethu,40-49,female,6708,False
Eastern Cape,EC135,Intsika Yethu,50-59,male,4739,False
Eastern Cape,EC135,Intsika Yethu,50-59,female,6828,False
Eastern Cape,EC135,Intsika Yethu,60-69,male,4607,False
Eastern Cape,EC135,Intsika Yethu,60-69,female,7345,False
Eastern Cape,EC135,Intsika Yethu,70-79,male,2783,False
Eastern Cape,EC135,Intsika Yethu,70-79,female,4957,False
Eastern Cape,EC135,Intsika Yethu,80+,male,1633,False
Eastern Cape,EC135,Intsika Yethu,80+,female,3658,False
Eastern Cape,EC136,Emalahleni,18-19,male,744,True
Eastern Cape,EC136,Emalahleni,18-19,female,745,True
Eastern Cape,EC136,Emalahleni,20-29,male,4841,True
Eastern Cape,EC136,Emalahleni,20-29,female,4548,True
Eastern Cape,EC136,Emalahleni,30-39,male,6532,False
Eastern Cape,EC136,Emalahleni,30-39,female,6143,False
Eastern Cape,EC136,Emalahleni,40-49,male,5493,False
Eastern Cape,EC136,Emalahleni,40-49,female,5436,False
Eastern Cape,EC136,Emalahleni,50-59,male,4051,False
Eastern Cape,EC136,Emalahleni,50-59,female,5490,False
Eastern Cape,EC136,Emalahleni,60-69,male,4156,False
Eastern Cape,EC136,Emalahleni,60-69,female,6365,False
Eastern Cape,EC136,Emalahleni,70-79,male,2412,False
Eastern Cape,EC136,Emalahleni,70-79,female,3859,False
Eastern Cape,EC136,Emalahleni,80+,male,997,False
Eastern Cape,EC136,Emalahleni,80+,female,2332,False
Eastern Cape,EC137,Dr. A.B. Xuma,18-19,male,884,True
Eastern Cape,EC137,Dr. A.B. Xuma,18-19,female,1113,True
Eastern Cape,EC137,Dr. A.B. Xuma,20-29,male,5159,True
Eastern Cape,EC137,Dr. A.B. Xuma,20-29,female,6097,True
