election_year,voting_district,municipality_code,municipality_source,province,registered_voters,municipality_code_2021,municipality_name_2021,province_2021,boundary_method
2000,54360020,MP304,MP304 - Seme [Volksrust],Mpumalanga,268,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54360031,MP304,MP304 - Seme [Volksrust],Mpumalanga,1326,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54360042,MP304,MP304 - Seme [Volksrust],Mpumalanga,230,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54360053,MP304,MP304 - Seme [Volksrust],Mpumalanga,446,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54360064,MP304,MP304 - Seme [Volksrust],Mpumalanga,718,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54360075,MP304,MP304 - Seme [Volksrust],Mpumalanga,846,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54360086,MP304,MP304 - Seme [Volksrust],Mpumalanga,1324,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54360097,MP304,MP304 - Seme [Volksrust],Mpumalanga,1521,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54360109,MP304,MP304 - Seme [Volksrust],Mpumalanga,47,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54370021,MP306,MP306 - Dipaleseng [Balfour],Mpumalanga,95,MP306,MP306 - Dipaleseng,Mpumalanga,vd_code_match
2000,54370032,MP306,MP306 - Dipaleseng [Balfour],Mpumalanga,820,MP306,MP306 - Dipaleseng,Mpumalanga,vd_code_match
2000,54370054,MP306,MP306 - Dipaleseng [Balfour],Mpumalanga,208,MP306,MP306 - Dipaleseng,Mpumalanga,vd_code_match
