province_2021,municipality_code_2021,municipality_name_2021,election_year,ballot_type,registered_voters,votes_cast,valid_votes,spoilt_votes,voting_districts,share_vd_code_match,turnout_pct,spoilt_pct
Mpumalanga,MP314,MP314 - Emakhazeni,2011,PR,24500,14695,14516,179,39,0.9743589743589743,59.97959183673469,1.2181013950323238
Mpumalanga,MP314,MP314 - Emakhazeni,2011,WARD,24500,14682,14483,199,39,0.9743589743589743,59.926530612244896,1.35540117150252
Mpumalanga,MP314,MP314 - Emakhazeni,2016,DC40,26651,15105,14917,188,46,0.9565217391304348,56.67704776556227,1.244620986428335
Mpumalanga,MP314,MP314 - Emakhazeni,2016,PR,26651,15106,14951,155,46,0.9565217391304348,56.68079996998237,1.0260823513835562
Mpumalanga,MP314,MP314 - Emakhazeni,2016,WARD,26651,15103,14942,161,46,0.9565217391304348,56.66954335672207,1.0660133748261935
Mpumalanga,MP314,MP314 - Emakhazeni,2021,DC40,26486,12613,12440,173,44,1.0,47.62138488257948,1.3716007294061683
Mpumalanga,MP314,MP314 - Emakhazeni,2021,PR,26486,12627,12453,174,44,1.0,47.67424299629993,1.3779995248277501
Mpumalanga,MP314,MP314 - Emakhazeni,2021,WARD,26486,12547,12366,181,44,1.0,47.37219663218304,1.4425759145612498
Mpumalanga,MP315,MP315 - Thembisile Hani,2000,DC40,102789,41403,39574,1829,55,0.9636363636363636,40.279601902927354,4.417554283506026
Mpumalanga,MP315,MP315 - Thembisile Hani,2000,PR,102789,41293,39574,1719,55,0.9636363636363636,40.172586560818765,4.1629331848012985
Mpumalanga,MP315,MP315 - Thembisile Hani,2000,WARD,102789,41702,40270,1432,55,0.9636363636363636,40.57048906011344,3.433888062922642
Mpumalanga,MP315,MP315 - Thembisile Hani,2006,DC40,117520,50441,48394,2047,86,0.9302325581395349,42.9212049012934,4.058206617632481
Mpumalanga,MP315,MP315 - Thembisile Hani,2006,PR,117520,50394,48592,1802,86,0.9302325581395349,42.88121170864534,3.575822518553796
Mpumalanga,MP315,MP315 - Thembisile Hani,2006,WARD,117520,50030,48749,1281,86,0.9302325581395349,42.571477195371,2.56046372176694
Mpumalanga,MP315,MP315 - Thembisile Hani,2011,DC40,138008,76899,75069,1830,133,0.9699248120300752,55.7206828589647,2.379744860141224
Mpumalanga,MP315,MP315 - Thembisile Hani,2011,PR,138008,76801,75051,1750,133,0.9699248120300752,55.649672482754625,2.2786161638520332
Mpumalanga,MP315,MP315 - Thembisile Hani,2011,WARD,138008,76757,74909,1848,133,0.9699248120300752,55.61779027302765,2.4075980040908322
Mpumalanga,MP315,MP315 - Thembisile Hani,2016,DC40,154722,84926,83155,1771,141,0.9929078014184397,54.88941456289345,2.085344888491157
Mpumalanga,MP315,MP315 - Thembisile Hani,2016,PR,154722,85208,83408,1800,141,0.9929078014184397,55.07167694316257,2.1124777016242606
Mpumalanga,MP315,MP315 - Thembisile Hani,2016,WARD,154722,85299,83615,1684,141,0.9929078014184397,55.13049210842673,1.9742318198337612
Mpumalanga,MP315,MP315 - Thembisile Hani,2021,DC40,151479,61293,59715,1578,143,1.0,40.463034480026934,2.574519113112427
Mpumalanga,MP315,MP315 - Thembisile Hani,2021,PR,151479,61389,59778,1611,143,1.0,40.526409601330876,2.624248643893857
Mpumalanga,MP315,MP315 - Thembisile Hani,2021,WARD,151479,61695,60263,1432,143,1.0,40.72841780048719,2.321095712780614
Mpumalanga,MP316,MP316 - Dr JS Moroka,2000,DC40,102522,38376,37094,1282,80,0.9625,37.43196582196992,3.340629560141755
Mpumalanga,MP316,MP316 - Dr JS Moroka,2000,DMA_DC60,25,19,19,0,1,1.0,76.0,0.0
Mpumalanga,MP316,MP316 - Dr JS Moroka,2000,PR,102497,38642,37291,1351,79,0.9620253164556962,37.70061562777447,3.496195849076135
Mpumalanga,MP316,MP316 - Dr JS Moroka,2000,WARD,102522,38469,37130,1339,80,0.9625,37.52267805934336,3.4807247394005563
Mpumalanga,MP316,MP316 - Dr JS Moroka,2006,DC40,111877,49471,45977,3494,94,1.0,44.21909775914621,7.062723615855754
Mpumalanga,MP316,MP316 - Dr JS Moroka,2006,PR,111877,49388,46219,3169,94,1.0,44.14490914128909,6.4165384303879485
Mpumalanga,MP316,MP316 - Dr JS Moroka,2006,WARD,111877,49534,48074,1460,94,1.0,44.27540960161606,2.9474704243549885
Mpumalanga,MP316,MP316 - Dr JS Moroka,2011,DC40,118114,62363,60499,1864,103,1.0,52.798990805493,2.9889517823068164
Mpumalanga,MP316,MP316 - Dr JS Moroka,2011,PR,118114,62641,60730,1911,103,1.0,53.034356638501784,3.050717581136955
Mpumalanga,MP316,MP316 - Dr JS Moroka,2011,WARD,118114,62363,61168,1195,103,1.0,52.798990805493,1.9162003110818915
Mpumalanga,MP316,MP316 - Dr JS Moroka,2016,DC40,130145,70368,68542,1826,116,1.0,54.068923124207615,2.5949295134151886
Mpumalanga,MP316,MP316 - Dr JS Moroka,2016,PR,130145,69905,67983,1922,116,1.0,53.713166083983246,2.7494456762749446
Mpumalanga,MP316,MP316 - Dr JS Moroka,2016,WARD,130145,71220,69715,1505,116,1.0,54.72357754811941,2.1131704577365906
Mpumalanga,MP316,MP316 - Dr JS Moroka,2021,DC40,123373,52984,51811,1173,117,1.0,42.94618757750886,2.2138758870602446
Mpumalanga,MP316,MP316 - Dr JS Moroka,2021,PR,123373,52817,51737,1080,117,1.0,42.810825707407616,2.044796183047125
Mpumalanga,MP316,MP316 - Dr JS Moroka,2021,WARD,123373,52896,52032,864,117,1.0,42.874859166916586,1.633393829401089
Mpumalanga,MP321,MP321 - Thaba Chweu,2000,DC40,37800,17734,17372,362,28,0.9642857142857143,46.91534391534392,2.041276643735198
Mpumalanga,MP321,MP321 - Thaba Chweu,2000,PR,37800,17723,17365,358,28,0.9642857142857143,46.886243386243386,2.019974045026237
Mpumalanga,MP321,MP321 - Thaba Chweu,2000,WARD,37800,17714,17326,388,28,0.9642857142857143,46.86243386243386,2.190357908998532
Mpumalanga,MP321,MP321 - Thaba Chweu,2006,DC40,41720,18347,17897,450,40,1.0,43.97651006711409,2.4527170654602934
Mpumalanga,MP321,MP321 - Thaba Chweu,2006,PR,41720,18369,18053,316,40,1.0,44.02924256951103,1.7202896183787904
