voting_district,registered,valid,spoilt,npe_vd_turnout_pct,year
54760024,4524,3027,35,67.683,2004
54760035,2674,2076,27,78.646,2004
54760046,4594,3428,22,75.098,2004
54770014,1828,1341,17,74.289,2004
54770036,406,407,8,102.217,2004
54770047,376,371,0,98.67,2004
54780015,667,460,4,69.565,2004
54790016,2472,1676,9,68.163,2004
54790027,1143,964,0,84.339,2004
54790038,1485,1273,11,86.465,2004
54790049,3009,2381,18,79.727,2004
54790050,1467,966,25,67.553,2004
54790061,1031,618,4,60.33,2004
54790072,1813,1417,10,78.709,2004
54790083,1073,727,5,68.22,2004
54790094,2397,1734,7,72.632,2004
54790106,2510,2169,31,87.649,2004
54790117,4139,3226,53,79.222,2004
54790139,2762,2811,27,102.752,2004
54790140,3619,2497,53,70.461,2004
54790151,1786,1462,0,81.859,2004
54790162,2353,1609,30,69.656,2004
54790173,2542,2003,70,81.55,2004
54790184,1111,966,10,87.849,2004
54790195,647,602,10,94.59,2004
54790207,2333,1922,35,83.883,2004
54790218,3049,2508,23,83.011,2004
54790229,1009,746,9,74.827,2004
54790230,1973,1777,18,90.978,2004
54790241,1663,1262,18,76.969,2004
54790252,2363,1557,25,66.949,2004
54790274,3731,2538,27,68.748,2004
54790285,3125,2837,31,91.776,2004
54790296,1299,1140,28,89.915,2004
54790308,2203,1879,31,86.7,2004
54790319,3790,2963,69,80.0,2004
54790320,1967,1727,18,88.714,2004
54790331,3864,2912,38,76.346,2004
54790342,1924,1519,11,79.522,2004
54790353,2178,1805,19,83.747,2004
54790364,863,769,31,92.7,2004
54790375,1497,1444,21,97.862,2004
54790386,2437,1885,24,78.334,2004
54790397,2730,1983,22,73.443,2004
54790409,968,828,5,86.054,2004
54790410,2654,2001,93,78.9,2004
54790421,1628,1266,9,78.317,2004
54790432,2635,1796,13,68.653,2004
54790443,2858,2102,20,74.248,2004
54790454,923,868,11,95.233,2004
54790465,1900,1735,17,92.211,2004
54790476,68,53,0,77.941,2004
54790487,472,489,3,104.237,2004
54790498,793,765,4,96.974,2004
54790500,520,523,4,101.346,2004
54790511,1403,1472,10,105.631,2004
54790522,481,406,12,86.902,2004
54800018,3687,2787,34,76.512,2004
54800029,3014,2112,43,71.5,2004
54830011,3481,2028,53,59.782,2004
54830022,2508,1957,28,79.147,2004
54830033,1807,1146,5,63.697,2004
54830044,2273,2042,9,90.233,2004
54830055,2251,1884,4,83.874,2004
54830066,2444,2019,0,82.61,2004
54830077,1606,1315,15,82.814,2004
54830088,2007,1784,42,90.982,2004
54840012,587,520,9,90.119,2004
54840023,278,244,2,88.489,2004
54840034,1577,1133,14,72.733,2004
54840045,226,126,0,55.752,2004
54840056,371,723,10,197.574,2004
54840067,1438,1299,13,91.238,2004
54840078,1081,980,1,90.749,2004
54840089,997,641,10,65.296,2004
54840102,188,93,0,49.468,2004
54840113,1061,920,8,87.465,2004
54850013,612,595,0,97.222,2004
54860014,920,758,8,83.261,2004
54860036,956,691,24,74.791,2004
54860058,220,163,4,75.909,2004
54860070,1152,983,9,86.111,2004
54860137,446,317,6,72.422,2004
54860159,113,129,0,114.159,2004
54860193,145,184,0,126.897,2004
54860205,122,121,3,101.639,2004
54860216,49,75,2,157.143,2004
54870015,381,248,4,66.142,2004
54870026,726,492,9,69.008,2004
54870037,1181,836,11,71.719,2004
54870048,1219,876,15,73.093,2004
54870059,293,234,0,79.863,2004
54870060,1151,956,14,84.275,2004
54870082,839,656,8,79.142,2004
54870093,511,344,4,68.102,2004
54870105,139,88,2,64.748,2004
54870116,1104,832,9,76.178,2004
54870138,1287,896,8,70.241,2004
54870149,549,476,7,87.978,2004
54870161,279,158,2,57.348,2004
54870172,840,531,10,64.405,2004
54870183,2709,2187,21,81.506,2004
54870194,1154,903,17,79.723,2004
54870206,650,658,8,102.462,2004
54870228,473,503,0,106.342,2004
54870239,127,134,4,108.661,2004
54880016,1747,1509,22,87.636,2004
54880027,332,237,5,72.892,2004
54880038,973,791,10,82.323,2004
54880049,1289,1062,4,82.7,2004
54880050,503,602,15,122.664,2004
54880061,2009,1638,18,82.429,2004
54880083,2025,1509,26,75.802,2004
54880094,1024,1027,18,102.051,2004
54880106,1539,1257,14,82.586,2004
54880117,2341,1952,18,84.152,2004
54880139,2084,1686,40,82.821,2004
54880162,2549,2101,29,83.562,2004
54880173,480,343,2,71.875,2004
54880184,880,729,7,83.636,2004
54880195,2461,2005,29,82.649,2004
54880207,730,637,3,87.671,2004
54880229,1210,1036,16,86.942,2004
54880230,1742,1442,21,83.984,2004
54880241,1407,1213,9,86.851,2004
54880252,531,457,5,87.006,2004
54880263,584,398,3,68.664,2004
54880274,614,594,6,97.72,2004
54880285,2658,2127,38,81.452,2004
54880296,1279,887,14,70.446,2004
54880308,1679,1251,22,75.819,2004
54880319,855,773,24,93.216,2004
54880342,3029,2252,31,75.371,2004
54880364,505,454,7,91.287,2004
54880375,771,647,6,84.695,2004
54880386,669,563,8,85.351,2004
54880397,1203,947,11,79.634,2004
54880409,570,448,3,79.123,2004
54880410,889,1192,4,134.533,2004
54880421,1293,1111,15,87.084,2004
54880432,339,326,2,96.755,2004
54880443,694,616,11,90.346,2004
54890017,1276,784,64,66.458,2004
54890039,146,105,5,75.342,2004
54890040,872,466,9,54.472,2004
54890051,305,269,2,88.852,2004
54890073,503,271,3,54.473,2004
54890084,987,644,27,67.984,2004
54890095,989,829,9,84.732,2004
54890118,757,629,6,83.884,2004
54890130,930,821,4,88.71,2004
54890141,1733,1450,42,86.093,2004
54890152,730,633,13,88.493,2004
54890163,1689,1363,22,82.001,2004
54890174,994,866,11,88.229,2004
54890185,828,596,6,72.705,2004
54890196,1069,779,14,74.181,2004
54890208,1260,1064,17,85.794,2004
54890219,893,785,4,88.354,2004
54890220,1453,1271,14,88.438,2004
54890231,1370,1133,11,83.504,2004
54890242,1331,1079,1,81.142,2004
54890253,775,660,6,85.935,2004
54890264,1229,1010,21,83.889,2004
54890275,1356,1147,14,85.619,2004
54890286,492,349,4,71.748,2004
54890297,493,445,9,92.089,2004
54890309,1007,890,6,88.977,2004
54890310,1090,891,1,81.835,2004
54890321,917,778,11,86.041,2004
54890332,1330,1084,7,82.03,2004
