voting_district,municipality_code_2021,municipality_name_2021,registered_voters,turnout_forecast
54420049,MP307,MP307 - Govan Mbeki,119.0,54.231
54420050,MP307,MP307 - Govan Mbeki,315.0,28.578
54420072,MP307,MP307 - Govan Mbeki,749.0,49.22
54420083,MP307,MP307 - Govan Mbeki,295.0,44.501
54420106,MP307,MP307 - Govan Mbeki,2258.0,51.228
54420128,MP307,MP307 - Govan Mbeki,209.0,28.094
54420139,MP307,MP307 - Govan Mbeki,1980.0,39.285
54420140,MP307,MP307 - Govan Mbeki,2029.0,41.221
54420151,MP307,MP307 - Govan Mbeki,430.0,36.934
54420162,MP307,MP307 - Govan Mbeki,1192.0,47.574
54420173,MP307,MP307 - Govan Mbeki,63.0,46.254
54420184,MP307,MP307 - Govan Mbeki,1088.0,51.838
54420195,MP307,MP307 - Govan Mbeki,592.0,57.005
54420207,MP307,MP307 - Govan Mbeki,90.0,55.866
54430028,MP312,MP312 - Emalahleni,775.0,35.313
54430039,MP312,MP312 - Emalahleni,639.0,33.114
54430040,MP312,MP312 - Emalahleni,223.0,36.864
54430051,MP312,MP312 - Emalahleni,1556.0,32.122
54430062,MP312,MP312 - Emalahleni,1323.0,46.767
54430073,MP312,MP312 - Emalahleni,305.0,27.65
54430084,MP312,MP312 - Emalahleni,493.0,32.939
54430095,MP312,MP312 - Emalahleni,1120.0,44.58
54430107,MP312,MP312 - Emalahleni,110.0,52.889
54440018,MP303,MP303 - Mkhondo,752.0,53.088
54440029,MP303,MP303 - Mkhondo,328.0,53.373
54440030,MP303,MP303 - Mkhondo,1025.0,49.546
54440041,MP303,MP303 - Mkhondo,832.0,50.489
54440052,MP303,MP303 - Mkhondo,342.0,53.083
54440063,MP303,MP303 - Mkhondo,332.0,51.412
54440074,MP303,MP303 - Mkhondo,507.0,51.032
54440085,MP303,MP303 - Mkhondo,1632.0,43.058
54440096,MP303,MP303 - Mkhondo,1221.0,49.739
54440119,MP303,MP303 - Mkhondo,858.0,53.134
54440120,MP303,MP303 - Mkhondo,620.0,44.59
